the,0.0668252940,the
be,0.0380413400,be
and,0.0325689870,and
of,0.0313646370,of
a,0.0307591540,a
in,0.0212145350,in
to,0.0192004260,to
have,0.0130504140,have
to,0.0116949070,to
it,0.0117420910,it
I,0.0120628600,I
that,0.0104034360,that
for,0.0099499960,for
you,0.0093426390,
he,0.0088214140,
with,0.0081354110,
on,0.0075359230,
do,0.0078036080,
say,0.0058070650,
this,0.0057167900,
they,0.0056567950,
at,0.0053598160,
but,0.0053874970,
we,0.0055214230,
his,0.0054631230,
from,0.0049604040,
that,0.0051923420,
not,0.0049692460,
n't,0.0049091390,
by,0.0045196270,
she,0.0045024070,
or,0.0041823620,
as,0.0039323850,
what,0.0035810880,
go,0.0034901890,
their,0.0032839510,
can,0.0031012490,
who,0.0030876290,
get,0.0030097410,
if,0.0028306780,
would,0.0028063380,
her,0.0029399850,
all,0.0027050240,
my,0.0027890730,
make,0.0025990970,
about,0.0026513660,
know,0.0027063370,
will,0.0025002480,
as,0.0025137410,
up,0.0024122110,
one,0.0023294260,
time,0.0023185860,
there,0.0023788390,
year,0.0023325250,
so,0.0022940040,
think,0.0023432380,
when,0.0020577240,
which,0.0020800290,
them,0.0020554310,
some,0.0020442820,
me,0.0021517130,
people,0.0020966630,
take,0.0020338270,
out,0.0020576540,
into,0.0020260250,
just,0.0020549490,
see,0.0020122990,
him,0.0020549370,
your,0.0020001000,
come,0.0019049860,
could,0.0018736880,
now,0.0018374990,
than,0.0017579340,
like,0.0017248620,
other,0.0016610310,
how,0.0016340270,
then,0.0016494420,
its,0.0016365310,
our,0.0015922250,
two,0.0015495320,
more,0.0015692680,
these,0.0015581340,
want,0.0015614940,
way,0.0014263460,
look,0.0014909500,
first,0.0014056210,
also,0.0014087740,
new,0.0013220140,
because,0.0013297340,
day,0.0013122500,
more,0.0012740360,
use,0.0012758880,
no,0.0012196140,
man,0.0012424710,
find,0.0011983310,
here,0.0012502180,
thing,0.0012150720,
give,0.0011658870,
many,0.0011684490,
well,0.0012485840,
only,0.0011509410,
those,0.0011461890,
tell,0.0011769600,
one,0.0011205550,
very,0.0011880760,
her,0.0012066600,
even,0.0010948240,
back,0.0011153730,
